RMSE,MAE,MAPE,R2,NLL,CRPS,PICP,MPIW,IS,model,fold,seed,train_time_s,infer_time_ms,config_hash
48.81240110828976,40.92124876725046,86.06573268510209,-2.1684182206869247,940.3802206663073,40.291100406094706,0.042105263157894736,4.4512176513671875,1554.0044434296458,GRU,B0005,44,19.55,4428.7,a8bfab47
41.13122698759258,34.57299767264837,85.14421443171415,-2.2534189105862765,959.7706020448362,34.04844305422536,0.05063291139240506,3.7277421951293945,1313.8555556550812,GRU,B0006,42,19.65,4012.92,a8bfab47
42.32392052549974,35.840849840188326,87.05861945596607,-2.444835093555419,1421.335284938353,35.393331931329016,0.0379746835443038,3.1469767093658447,1374.7771063424364,GRU,B0006,43,20.19,4004.6,a8bfab47
39.6063331191394,32.99880354917502,83.75091643219761,-2.016656967585074,616.1556245005228,32.372145283295275,0.0759493670886076,4.482111930847168,1237.6843258338638,GRU,B0006,44,19.95,3995.3,a8bfab47
75.12808542724336,63.90236233973849,89.47674554921015,-2.5567269148536527,3196.5063559356745,63.371962791947624,0.021739130434782608,3.715282917022705,2486.2989801513977,GRU,B0007,42,18.5,5492.06,a8bfab47
76.3873332093591,65.27822619244672,91.0398812915948,-2.676957207270486,4607.355732049614,64.8271310171196,0.021739130434782608,3.178637981414795,2551.58641177675,GRU,B0007,43,18.28,5498.65,a8bfab47
73.61456035816529,62.26828859854436,88.41777117925656,-2.4148633072893726,2150.82846068521,61.639669533980666,0.028985507246376812,4.423057556152344,2407.9763625324636,GRU,B0007,44,18.39,5414.82,a8bfab47
34.229502041269626,28.652534157482545,83.80031025027492,-2.1327775668269564,670.4968427104214,28.131098961584083,0.04477611940298507,3.711361885070801,1077.4873709393971,GRU,B0018,42,20.28,3762.37,a8bfab47
35.40497492301776,29.877223271042553,85.12211338779335,-2.3516370302126117,995.1598308301058,29.430339106316154,0.05970149253731343,3.151238441467285,1136.549463852128,GRU,B0018,43,20.03,3771.78,a8bfab47
32.759134603204416,27.176888686507496,83.15540578447106,-1.869414170991618,420.6129979629458,26.551562686577707,0.07462686567164178,4.451049327850342,1005.1366511956969,GRU,B0018,44,20.13,3809.73,a8bfab47
29.885287139440308,24.851564507735404,240.97899111058726,-0.1876733875090375,5.12661604354307,18.109764419446424,0.7789473684210526,78.6418228149414,192.18329018040708,TCN,B0005,42,4.21,933.07,9471b0a0
30.658874142692415,25.186331939697265,248.61291039393834,-0.24995553683172012,5.664284171687752,19.228436727734056,0.6631578947368421,63.06248474121094,285.1327981246145,TCN,B0005,43,4.16,920.13,9471b0a0
29.413256244895432,24.183230108963816,234.58825057243402,-0.15045165282962802,4.820500390670524,17.012698824891594,0.9894736842105263,125.104736328125,125.74298641807155,TCN,B0005,44,4.18,926.0,9471b0a0
31.096072354188358,25.68949817705758,286.93541513000025,-0.8595494535709951,5.156114176691026,18.852030527356987,0.6962025316455697,79.61518859863281,193.35170523727996,TCN,B0006,42,4.16,861.98,9471b0a0
34.26652569018803,27.89113660401936,311.34665037414356,-1.2580668901467624,5.898119652389633,21.78150275933909,0.620253164556962,66.188232421875,332.36771059639847,TCN,B0006,43,4.21,856.53,9471b0a0
32.11473278563047,27.043828698653208,291.6974923279554,-0.9833770421008627,4.901827954444254,18.609552757757317,0.9873417721518988,129.3325958251953,130.79807493958293,TCN,B0006,44,4.21,868.84,9471b0a0
45.52415765804364,37.51346582606219,131.17859464241494,-0.3059595213828157,7.858612346738415,30.683716751408188,0.4420289855072464,60.7179069519043,624.4940603228583,TCN,B0007,42,3.85,1011.63,9471b0a0
