protocol,cell_id,seed,corruption,model,rmse,violation_rate,violation_count
same_cell,CS2_37,42,impulse_spikes,lstm,0.22212063907081755,0.0,0
same_cell,CS2_38,42,impulse_spikes,pinn,0.219501325843768,0.0,0
same_cell,CS2_38,42,impulse_spikes,lstm,0.20620346069805393,0.0,0
same_cell,CS2_33,123,impulse_spikes,pinn,0.2964133052208476,0.0,0
same_cell,CS2_33,123,impulse_spikes,lstm,0.2776258808108267,0.0,0
same_cell,CS2_34,123,impulse_spikes,pinn,0.16636118124125662,0.0,0
same_cell,CS2_34,123,impulse_spikes,lstm,0.14108265488638738,0.0,0
same_cell,CS2_35,123,impulse_spikes,pinn,0.21066247184231435,0.0,0
same_cell,CS2_35,123,impulse_spikes,lstm,0.20003063313146185,0.0,0
same_cell,CS2_36,123,impulse_spikes,pinn,1.1659329130293339,0.0,0
same_cell,CS2_36,123,impulse_spikes,lstm,0.24854506149010852,0.0,0
same_cell,CS2_37,123,impulse_spikes,pinn,0.3139660119563459,0.0,0
same_cell,CS2_37,123,impulse_spikes,lstm,0.22248324953804618,0.0,0
same_cell,CS2_38,123,impulse_spikes,pinn,0.2199617671045505,0.0,0
same_cell,CS2_38,123,impulse_spikes,lstm,0.20625738236806912,0.0,0
same_cell,CS2_33,456,impulse_spikes,pinn,0.2996455931449886,0.0,0
same_cell,CS2_33,456,impulse_spikes,lstm,0.27769999129559086,0.0,0
same_cell,CS2_34,456,impulse_spikes,pinn,0.15594003381774413,0.0,0
same_cell,CS2_34,456,impulse_spikes,lstm,0.14170318256976436,0.0,0
same_cell,CS2_35,456,impulse_spikes,pinn,0.20864030639322337,0.0,0
same_cell,CS2_35,456,impulse_spikes,lstm,0.1994215204757821,0.0,0
same_cell,CS2_36,456,impulse_spikes,pinn,1.21294062639209,0.0,0
same_cell,CS2_36,456,impulse_spikes,lstm,0.24870457770353926,0.0,0
same_cell,CS2_37,456,impulse_spikes,pinn,0.2758153372255455,0.0,0
same_cell,CS2_37,456,impulse_spikes,lstm,0.22214206201859538,0.0,0
same_cell,CS2_38,456,impulse_spikes,pinn,0.22009520818844436,0.0,0
same_cell,CS2_38,456,impulse_spikes,lstm,0.20628334897433467,0.0,0
same_cell,CS2_33,789,impulse_spikes,pinn,0.30807209475917585,0.0,0
same_cell,CS2_33,789,impulse_spikes,lstm,0.27773762647467093,0.0,0
same_cell,CS2_34,789,impulse_spikes,pinn,0.16100078481735652,0.0,0
same_cell,CS2_34,789,impulse_spikes,lstm,0.1408078910870527,0.0,0
same_cell,CS2_35,789,impulse_spikes,pinn,0.2087258349441353,0.0,0
same_cell,CS2_35,789,impulse_spikes,lstm,0.19912698049367858,0.0,0
same_cell,CS2_36,789,impulse_spikes,pinn,1.1403288189295242,0.0,0
same_cell,CS2_36,789,impulse_spikes,lstm,0.24873447114458258,0.0,0
same_cell,CS2_37,789,impulse_spikes,pinn,0.28976739509594857,0.0,0
same_cell,CS2_37,789,impulse_spikes,lstm,0.22120518112501297,0.0,0
same_cell,CS2_38,789,impulse_spikes,pinn,0.21742200907682857,0.0,0
same_cell,CS2_38,789,impulse_spikes,lstm,0.20628541505929673,0.0,0
same_cell,CS2_33,1024,impulse_spikes,pinn,0.3035996698473616,0.0,0
same_cell,CS2_33,1024,impulse_spikes,lstm,0.276619404363238,0.0,0
same_cell,CS2_34,1024,impulse_spikes,pinn,0.16118377652797589,0.0,0
same_cell,CS2_34,1024,impulse_spikes,lstm,0.14128189599399096,0.0,0
same_cell,CS2_35,1024,impulse_spikes,pinn,0.2082218472243232,0.0,0
same_cell,CS2_35,1024,impulse_spikes,lstm,0.19892616656322681,0.0,0
